Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S273183084,Snowy Egret,Egretta thula,7645,X,US-MA,Barnstable,L52794941,Wellfleet,41.885292,-69.996818,2025-09-13,,eBird - Casual Observation,,0,,,1
S143638468,Snowy Egret,Egretta thula,7645,X,US-MA,Plymouth,L25706518,Peddocks island,42.29933,-70.926385,2023-07-05,,eBird - Casual Observation,,0,,,1
S263206820,Green Heron,Butorides virescens,7704,X,US-MA,Norfolk,L50583182,Ridge Above,42.10564,-71.31314,2025-07-27,,eBird - Casual Observation,,0,,,1
S262823014,Great Egret,Ardea alba,7729,X,US-MA,Essex,L50486233,Salt Marsh Live Parking Only,42.775289,-70.806791,2025-07-26,,eBird - Casual Observation,,0,,,1
S143631695,Great Egret,Ardea alba,7729,X,US-MA,Plymouth,L25705927,Hingham Ferry Terminal,42.254018,-70.916595,2023-07-05,,eBird - Casual Observation,,0,,,1
S232269415,Gray Heron,Ardea cinerea,7745,X,JP-13,Shibuya City,L43960472,Mother And Child Garden,35.685307,139.706419,2025-05-03,,eBird - Casual Observation,,0,,,1
S232270602,Gray Heron,Ardea cinerea,7745,X,JP-13,Shibuya City,L43960472,Mother And Child Garden,35.685307,139.706419,2025-05-03,02:35 PM,eBird - Casual Observation,,0,,,1
S262822862,Great Blue Heron,Ardea herodias,7753,X,US-MA,Essex,L50486233,Salt Marsh Live Parking Only,42.775289,-70.806791,2025-07-26,,eBird - Casual Observation,,0,,,1
S266151850,Great Blue Heron,Ardea herodias,7753,X,US-MA,Hampshire,L51274525,Observation Tower,42.291017,-72.64479,2025-08-09,,eBird - Casual Observation,,0,,,1
S249612159,Great Blue Heron,Ardea herodias,7753,X,US-MA,Middlesex,L32450190,Cambridge,42.372441,-71.074891,2025-06-12,,eBird - Casual Observation,,0,,,1
S188394817,Great Blue Heron,Ardea herodias,7753,X,US-MA,Middlesex,L35056753,MassAudubon Nashoba brook,42.548207,-71.435505,2024-07-23,,eBird - Casual Observation,,0,,,1
S175822866,Brown Pelican,Pelecanus occidentalis,7792,X,US-CA,Santa Barbara,L32045989,Channel Islands National Park,34.049176,-119.558118,2024-05-19,,eBird - Casual Observation,,0,,,1
S283541449,Turkey Vulture,Cathartes aura,7815,X,US-ME,Cumberland,L54921061,Gislead Farm,43.708701,-70.237643,2025-11-08,,eBird - Casual Observation,,0,,,1
